ACCNUM	ENTREZID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
NM_000022	100	adenosine deaminase	ADA	ENSG00000196839	1.05581567109789	11.3525964258686	2.7000909666638	0.0110106726726123	0.0432946742746232	-0.627523898675324	1
NM_181690	10000	AKT serine/threonine kinase 3	AKT3	ENSG00000117020	1.07188591424824	11.3165938666576	3.28640664618055	0.00247725051480819	0.0142216844432853	0.721388250284633	1
BC004106	10001	mediator complex subunit 6	MED6	ENSG00000133997	0.0257990071775893	10.9687644848983	0.188218165234006	0.851901159182138	0.913893692931532	-3.86696024330947	0
NM_183385	10005	acyl-CoA thioesterase 8	ACOT8	ENSG00000101473	-0.338972960475216	10.9695627367169	-1.70739617600517	0.0974921520536204	0.211251350294661	-2.49749830243736	0
AF260262	10006	abl interactor 1	ABI1	ENSG00000136754	0.429062135501255	13.2597407919976	2.24430554073594	0.0319012106163478	0.0938789077703962	-1.56187037791818	0
NM_005471	10007	glucosamine-6-phosphate deaminase 1	GNPDA1	ENSG00000113552	-0.717509492501577	12.0292608838843	-6.05773427475219	9.40064876430359e-07	3.74048362998486e-05	8.06531215531468	-1
NM_006777	10009	zinc finger and BTB domain containing 33	ZBTB33	ENSG00000177485	0.533357129695439	10.9389629387698	2.28770964506319	0.0289498751805733	0.0877712630220677	-1.47797737192706	0
NM_004180	10010	TRAF family member associated NFKB activator	TANK	ENSG00000136560	0.43058832322979	13.5057458980629	3.19760288604773	0.00312852962686143	0.0170425540890447	0.508239607853021	1
AK127026	100101267	POM121 transmembrane nucleoporin C	POM121C	ENSG00000272391	0.0531639615492061	13.3507575539565	0.585444866798881	0.562379042103312	0.704705652982762	-3.71482898778926	0
BC067895	10011	steroid receptor RNA activator 1	SRA1	ENSG00000213523	0.0175533798127105	12.1256476992028	0.129526474625903	0.897756598777108	0.94150856047946	-3.87624078402357	0
AK096196	100129434	uncharacterized LOC100129434	LOC100129434	ENSG00000233251	0.395432806407356	13.2002533125707	1.41903263214779	0.165613846339233	0.306866666019488	-2.91316675426265	0
BC069243	10013	histone deacetylase 6	HDAC6	ENSG00000094631	0.15456311161503	11.9549492193945	1.15013461573314	0.258661327494974	0.416963301993099	-3.2395339126315	0
NM_001039703	100132406	NBPF member 10	NBPF10	ENSG00000271425	0.280017885079529	11.9800753487255	1.08827627560902	0.284649573144182	0.444243894488619	-3.3057944598748	0
BC047782	100134934	TEN1 subunit of CST complex	TEN1	ENSG00000257949	-0.105938306233458	11.0407015515709	-0.727455323757956	0.472267341227909	0.62881565275244	-3.62326492950696	0
BC025290	100137047	jumonji domain containing 7	JMJD7	ENSG00000243789	0.189033379400092	10.4741749656905	0.78542563708714	0.438014976069942	0.598155710227518	-3.58038280453789	0
BC051824	10014	histone deacetylase 5	HDAC5	ENSG00000108840	-1.03652824533724	10.9652307619408	-4.20357046367716	0.000198796154727121	0.00211022511120615	3.05403491667223	-1
BC068454	10015	programmed cell death 6 interacting protein	PDCD6IP	ENSG00000170248	0.385045534702829	12.8864343776489	2.61341226251044	0.0135768198747294	0.0505292509084995	-0.813840101057805	0
NM_013232	10016	programmed cell death 6	PDCD6	ENSG00000249915	-0.51003806986262	11.4666265934656	-3.21604010824687	0.00298112135313752	0.0164261376815472	0.552260689547444	-1
NM_207002	10018	BCL2 like 11	BCL2L11	ENSG00000153094	0.450893443188038	11.2565915734163	1.30331039970155	0.201823178379626	0.351411000944194	-3.06113045172902	0
BC015975	100188893	translocase of outer mitochondrial membrane 6	TOMM6	ENSG00000214736	-0.411624271305639	13.9824866492704	-3.20708016366451	0.00305190911926871	0.0167350094223134	0.530852272101178	-1
BC015786	10019	SH2B adaptor protein 3	SH2B3	ENSG00000111252	-0.239984900738603	13.8449218388631	-1.9436354769765	0.0608306277847352	0.150824742144571	-2.11017164434468	0
BC020737	10026	phosphatidylinositol glycan anchor biosynthesis class K	PIGK	ENSG00000142892	-0.109139292828134	11.4145178240951	-0.503084902000567	0.618370186828236	0.746984065196973	-3.75905279384078	0
NM_001018024	100272147	C-X9-C motif containing 4	CMC4	ENSG00000182712	-0.062375779214733	12.3280991898324	-0.392397341100895	0.697381501794907	0.806296022113673	-3.80809591137902	0
NM_182905	100287171	WASH complex subunit 1	WASHC1	ENSG00000181404	-0.278317419466941	13.0192560916966	-2.20577792854641	0.0347443649780671	0.0999458725204551	-1.63537223563945	0
NM_006327	100287932	translocase of inner mitochondrial membrane 23	TIMM23	ENSG00000265354	-0.233322778660858	13.2383219377992	-1.93188472614597	0.0623221963177358	0.153393716094351	-2.13037743174559	0
BC093812	100288695	LIM zinc finger domain containing 4	LIMS4	ENSG00000256671	0.236525289513201	13.1212314601588	1.34351837164704	0.188609964122562	0.33616333929357	-3.01098554420649	0
BC063682	100288778	WAS protein family homolog 8, pseudogene	WASH8P	ENSG00000226210	-0.178049347494657	12.5355764802584	-1.17626258130687	0.248217417440389	0.405679586342447	-3.2105369267423	0
AK001980	10038	poly(ADP-ribose) polymerase 2	PARP2	ENSG00000129484	-0.39324696457825	10.9476552209153	-2.63276174538027	0.0129600636101757	0.0488313635704231	-0.772577372217918	-1
BC104754	10042	HMG-box containing 4	HMGXB4	ENSG00000100281	0.269081399062978	11.6467590956501	2.28412536461726	0.0291839304719125	0.0884126920692326	-1.48494836543709	0
NM_005488	10043	target of myb1 membrane trafficking protein	TOM1	ENSG00000100284	1.15845121150285	12.2056868070772	7.38414548146825	2.20210004604843e-08	2.77541899786595e-06	11.5602217253718	1
NM_005493	10048	RAN binding protein 9	RANBP9	ENSG00000010017	-0.0319377123658455	12.6274185896441	-0.197839836799428	0.844429172089654	0.909229005117463	-3.8651124058055	0
NM_005494	10049	DnaJ heat shock protein family (Hsp40) member B6	DNAJB6	ENSG00000105993	0.167220486544014	11.8424012664938	0.727524420568993	0.472225613480291	0.62881565275244	-3.62321570415771	0
BC000924	100506084	ADP ribosylation factor like GTPase 17B	ARL17B	ENSG00000228696	0.212886775202669	10.741944303431	0.853189500351893	0.399932853475031	0.562217164621306	-3.52626200289211	0
BC029439	100506144	transmembrane protein 35B	TMEM35B	ENSG00000243749	0.0502785488160651	13.1319359319418	0.263941726236217	0.793527188747121	0.874762588498181	-3.84993596930067	0
NM_000247	100507436	MHC class I polypeptide-related sequence A	MICA	ENSG00000204520	0.602476094385572	11.176400643145	3.31393104143005	0.00230326351457022	0.013517579752469	0.78801387087998	1
NM_001002799	10051	structural maintenance of chromosomes 4	SMC4	ENSG00000113810	-0.109981890065185	10.6226349732163	-0.385123518542329	0.702708953999923	0.810390327316628	-3.81089897117009	0
BC052310	100526836	BLOC1S5-TXNDC5 readthrough (NMD candidate)	BLOC1S5-TXNDC5	ENSG00000259040	-0.638525735166406	11.2632104492567	-3.24677719021492	0.00275001544422666	0.0154351335132706	0.625922204837913	-1
BC040148	100529209	RNASEK-C17orf49 readthrough	RNASEK-C17orf49	ENSG00000161939	-0.00524258217482476	12.6291424388385	-0.0205722536201635	0.983715369212186	0.99227271435581	-3.88438382223932	0
BC012379	100533106	ZHX1-C8orf76 readthrough	ZHX1-C8orf76	ENSG00000259305	0.232892277444645	10.1951331465279	1.35920677658385	0.18363942142974	0.330241080883694	-2.99105254333927	0
AY336750	100533184	ARHGAP19-SLIT1 readthrough (NMD candidate)	ARHGAP19-SLIT1	ENSG00000269891	-0.875196885791583	11.1686195308637	-4.70979666453559	4.66698522494377e-05	0.000700987445196252	4.40776641653565	-1
BC051725	100533483	DNAAF4-CCPG1 readthrough (NMD candidate)	DNAAF4-CCPG1	ENSG00000261771	0.65461698891659	10.974995338279	4.7383852512255	4.29742001419492e-05	0.000656493241758924	4.48497804384638	1
NM_005499	10054	ubiquitin like modifier activating enzyme 2	UBA2	ENSG00000126261	0.249988351163308	11.4779974293254	2.19108408917481	0.0358870807640882	0.102340958213016	-1.66316213059072	0
BC000344	10055	SUMO1 activating enzyme subunit 1	SAE1	ENSG00000142230	-0.406365661850506	12.3014817726681	-2.84681422492846	0.00766948795523911	0.0331357413973458	-0.303810385160247	-1
BC017783	10056	phenylalanyl-tRNA synthetase subunit beta	FARSB	ENSG00000116120	-0.881567863067385	11.7508529403618	-4.16283520859614	0.000223105315948503	0.00231671669344741	2.94655216808843	-1
AY196484	10057	ATP binding cassette subfamily C member 5	ABCC5	ENSG00000114770	-0.575648800484604	12.4826601051779	-2.65730030466245	0.012215235634565	0.0467577491735859	-0.719974921946279	-1
AB209070	10059	dynamin 1 like	DNM1L	ENSG00000087470	-0.296014991705205	12.6287505265089	-2.4257101420923	0.021131606396948	0.0692735098748668	-1.20383050260185	0
BC001661	10061	ATP binding cassette subfamily F member 2	ABCF2	ENSG00000033050	-0.485276848324959	11.5179268529444	-2.79894229059972	0.00863800053545951	0.0362925754662548	-0.410542876004292	-1
BC008819	10062	nuclear receptor subfamily 1 group H member 3	NR1H3	ENSG00000025434	2.00129169695469	12.7864837555533	7.32122525230438	2.62134428130178e-08	3.01752769061784e-06	11.3988871613693	1
NM_005694	10063	cytochrome c oxidase copper chaperone COX17	COX17	ENSG00000138495	1.16289478061506	11.7483690581532	5.8838548653404	1.55286356931953e-06	5.26561919414713e-05	7.59567305467258	1
NM_005697	10066	secretory carrier membrane protein 2	SCAMP2	ENSG00000140497	-0.628103834031981	14.0093212475919	-5.40201109524676	6.27644016243621e-06	0.000152900102048892	6.28733814743621	-1
BC010505	10067	secretory carrier membrane protein 3	SCAMP3	ENSG00000116521	0.210057328371912	12.7676022882623	1.64070709373144	0.110710322059736	0.231921716789101	-2.59939344509588	0
NM_173042	10068	interleukin 18 binding protein	IL18BP	ENSG00000137496	0.744560496036426	13.6447564239886	3.77843088095011	0.00065415064375804	0.00526299271682622	1.947363071322	1
NM_016940	10069	RWD domain containing 2B	RWDD2B	ENSG00000156253	0.126215022010978	11.5723606769576	0.422546893183263	0.675468376281102	0.791285252996758	-3.79592413315729	0
NM_005700	10072	dipeptidyl peptidase 3	DPP3	ENSG00000254986	-0.296920318945121	11.2412386069124	-1.30191006339585	0.202295798734192	0.351732226518546	-3.0628523347967	0
NM_005701	10073	snurportin 1	SNUPN	ENSG00000169371	-0.287125289962972	12.2800543060712	-2.53623084215774	0.0163167271969964	0.0572898217035366	-0.976494054395554	0
NM_031407	10075	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	HUWE1	ENSG00000086758	0.182647458359178	12.9286230467249	1.45983197890508	0.154141930197433	0.291687970503259	-2.85836609134049	0
BC012358	10084	polyglutamine binding protein 1	PQBP1	ENSG00000102103	-0.303196644761998	11.1806074746023	-2.66428423312779	0.0120106264553343	0.0462116596109537	-0.704948191403262	-1
AK090466	100861548	PINK1 antisense RNA	PINK1-AS	ENSG00000117242	-0.67362627256982	11.169327669472	-4.09181196640126	0.000272658738586536	0.00268617868066031	2.75980823304483	-1
NM_031361	10087	ceramide transporter 1	CERT1	ENSG00000113163	0.510022977212119	11.6565073698211	3.31970466254656	0.00226828427512241	0.0133942485691925	0.802022274862033	1
BC071857	10092	actin related protein 2/3 complex subunit 5	ARPC5	ENSG00000162704	-0.163216880906445	13.2725878397338	-1.46279910567696	0.153332926202789	0.29077171770245	-2.85432792618023	0
NM_001024959	10093	actin related protein 2/3 complex subunit 4	ARPC4	ENSG00000241553	-0.374856199149145	13.3882890085426	-4.00745162794974	0.000345663570843717	0.00323004205239348	2.53915750144796	-1
NM_005720	10095	actin related protein 2/3 complex subunit 1B	ARPC1B	ENSG00000130429	-0.341405742020886	14.2379859858488	-2.38479449604855	0.023221053064706	0.0743346669439817	-1.2862638520095	0
NM_005721	10096	actin related protein 3	ACTR3	ENSG00000115091	-0.0514614058808576	14.4151899315909	-0.54288004029598	0.590996087650593	0.727034731142891	-3.73850417205192	0
BC036253	10097	actin related protein 2	ACTR2	ENSG00000138071	-0.162134825290462	13.997829034024	-1.62768292174134	0.113457747710805	0.235764567666463	-2.61889706542766	0
NM_005724	10099	tetraspanin 3	TSPAN3	ENSG00000140391	0.783384553995626	13.297418723971	5.03343592853892	1.8296460459538e-05	0.00034603502964884	5.28467954463506	1
AK026965	100996485	chromosome 5 open reading frame 66	C5orf66	ENSG00000224186	-0.121282829591378	11.1642137873099	-0.510788813177203	0.613025631138697	0.743269361167533	-3.75519474768072	0
NM_032906	100996939	PIGY upstream reading frame	PYURF	ENSG00000145337	-0.232689978627477	11.1414675012954	-1.76358171475597	0.0874060650410052	0.195517015054242	-2.40905553361732	0
NM_005726	10102	Ts translation elongation factor, mitochondrial	TSFM	ENSG00000123297	1.29427873595044	10.6597928729665	5.34605569409165	7.38375958854629e-06	0.000170073982472532	6.13506429969847	1
AY358854	10105	peptidylprolyl isomerase F	PPIF	ENSG00000108179	0.610581047810147	14.3156467519556	3.42950904689549	0.00169249010411743	0.0107658726281804	1.07053053788395	1
NM_005730	10106	CTD small phosphatase 2	CTDSP2	ENSG00000175215	-0.2067466152957	11.6705894556419	-0.804382240821574	0.427146947484566	0.588098965530888	-3.56567479522297	0
NM_005731	10109	actin related protein 2/3 complex subunit 2	ARPC2	ENSG00000163466	-0.118861958818963	14.9066442043519	-1.221862332555	0.230736831394588	0.384790632385312	-3.15850789818567	0
NM_005732	10111	RAD50 double strand break repair protein	RAD50	ENSG00000113522	-0.148982127196099	10.3439127441738	-0.55568633809855	0.582312639223199	0.720738696606979	-3.7315651919863	0
BC002765	10113	prolactin regulatory element binding	PREB	ENSG00000138073	-0.207953059441204	11.1417050701723	-1.61773717650626	0.115593467146327	0.239350667207537	-2.63370274975013	0
NM_005734	10114	homeodomain interacting protein kinase 3	HIPK3	ENSG00000110422	-0.0832996692499144	13.0244307161035	-0.919386228607232	0.364812738135015	0.526742521255589	-3.46927796681346	0
NM_015322	10116	fem-1 homolog B	FEM1B	ENSG00000169018	-0.131454029264761	14.1062763989216	-1.24470222487506	0.222333327632431	0.374947612302553	-3.13177301391827	0
BC026016	10121	actin related protein 1A	ACTR1A	ENSG00000138107	-0.0309838306723194	12.707262511254	-0.312217643246436	0.756912494784562	0.850199007094742	-3.8361199951313	0
NM_005737	10123	ADP ribosylation factor like GTPase 4C	ARL4C	ENSG00000188042	-0.0181425668914095	12.7141816481183	-0.0380522852256195	0.969883791502694	0.984920180919472	-3.88387344036163	0
BC003027	10124	ADP ribosylation factor like GTPase 4A	ARL4A	ENSG00000122644	1.20880431597006	10.678465644107	2.60899270131274	0.013721450210607	0.0508280368077326	-0.823237853983214	0
